nom_de_larret,coordonnees_gps_(vias_ardallion__grau_dagde),coordonnees_gps_(grau_dagde_vias_ardallion),numero_de_ligne
Grau dAgde,"43.286056, 3.446429",,Ligne 2
Centre Aquatique,"43.287246, 3.476223","43.2874, 3.476181",Ligne 2
Notre Dame (Provisoire),"43.293159, 3.453947","43.29338, 3.453395",Ligne 2
,,,Ligne 2
Montilles,"43.290826, 3.463747","43.291028, 3.463308",Ligne 2
Mimosas,"43.2893, 3.47085","43.28947, 3.47072",Ligne 2
LEphebe,"43.294963, 3.471111","43.2951, 3.470905",Ligne 2
Espace Grand Cap,"43.297667, 3.473413","43.297741, 3.473502",Ligne 2
Centre Hospitalier,"43.298709, 3.484094",,Ligne 2
College & Lycee,"43.301659, 3.483757","43.301671, 3.48324",Ligne 2
Oliveraie,"43.304187, 3.483997","43.304167, 3.484303",Ligne 2
Michelet,"43.307109, 3.47919","43.30727, 3.47923",Ligne 2
,,,Ligne 2
Commissariat,"43.311831, 3.476207","43.311954, 3.475681",Ligne 2
Promenade (Provisoire),"43.315345, 3.471014",,Ligne 2
Jean Jaures,"43.31481, 3.46954",,Ligne 2
Agde Gare SNCF,"43.316955, 3.46597",,Ligne 2
Croix de la Mission,"43.314086, 3.424279","43.313982, 3.424319",Ligne 2
Victor Hugo,"43.313929, 3.418283","43.313775, 3.418452",Ligne 2
Vias Ardallion,"43.31252, 3.40936","43.312465, 3.40876",Ligne 2
Ligne 3,,,
Nom de larret,Coordonnees GPS   (Vieux Port  ? Agde Gare SNCF),Coordonnees GPS ( Agde Gare SNCF ? Vieux Port),Numero de ligne
Agde Gare SNCF,"43.316955, 3.46597",,Ligne 3 
Jean Jaures,"43.31481, 3.46954",,Ligne 3 
Commissariat,"43.311954, 3.475681","43.311831, 3.476207",Ligne 3 
Albert Camus,"43.30814, 3.47772","43.30852, 3.47725",Ligne 3 
Michelet,"43.307109, 3.47919","43.30727, 3.47923",Ligne 3 
Oliveraie,"43.304187, 3.483997","43.304167, 3.484303",Ligne 3 
College & Lycee,"43.301659, 3.483757","43.301671, 3.48324",Ligne 3 
Centre Hospitalier,"43.298709, 3.484094",,Ligne 3 
Jean Monnet,"43.299214, 3.477938","43.299819, 3.47843",Ligne 3 
Espace Grand Cap,"43.297667, 3.473413","43.297741, 3.473502",Ligne 3 
LEphebe,"43.294963, 3.471111","43.2951, 3.470905",Ligne 3 
Mimosas,"43.2893, 3.47085","43.28947, 3.47072",Ligne 3 
Centre Aquatique,"43.287246, 3.476223","43.2874, 3.476181",Ligne 3 
Malfato,"43.285644, 3.481549","43.285577, 3.48169",Ligne 3 
Camarines,"43.279959, 3.480987","43.279229, 3.481219",Ligne 3 
Mail de Rochelongue,"43.278139, 3.484764","43.278095, 3.485575",Ligne 3 
Pacifique,"43.278594, 3.490197","43.279085, 3.490416",Ligne 3 
Corsaires,"43.279505, 3.493155","43.279914, 3.493594",Ligne 3 
Alizes,"43.281217, 3.495231","43.281571, 3.495743",Ligne 3 
